えんどおい,縁遠い
えんのした,縁の下
えんびふく,燕尾服
えんむすび,縁結び
えんゆうかい,園遊会
えんるいせん,塩類泉
おあし,おあし
おあし,おあし
おあずけ,お預け
おいえげい,お家芸
おいえげい,お家芸
おいかぜ,追い風
おいこみ,追込み
おいこむ,追込む
おいさき,生い先
おいさき,老い先
おいさき,老い先
おいて,追いて
おいで,おいで
おいら,おいら
おいる,老いる
おうい,おうい
おうし,雄うし
おうずる,応ずる
おうずる,応ずる
おうずる,応ずる
おうむ,おうむ
おうめんきょう,凹面鏡
おえる,終える
おおいそぎ,大急ぎ
おおいに,大いに
おおいり,大入り
おおうつし,大写し
おおかた,大かた
おおきい,大きい
おおきな,大きな
おおぎり,大切り
おおぎり,大切り
おおぐい,大食い
おおげさ,大げさ
おおごしょ,大御所
おおごと,大ごと
おおさじ,大さじ
おおさわぎ,大騒ぎ
おおだてもの,大立者
おおづめ,大詰め
おおづめ,大詰め
おおてすじ,大手筋
おおてすじ,大手筋
おおどおり,大通り
おおどおり,大通り
おおぶり,大降り
おおまか,大まか
おおまた,大また
おおもと,大もと
おおよろこび,大喜び
おおる,オール
おおる,オール
おおわらい,大笑い
おかあ,おかあ
おがくず,おが屑
おかげ,おかげ
おかげ,おかげ
おかず,おかず
おかっぴき,岡っ引
おかぼ,おかぼ
おかぼれ,岡惚れ
おかみ,おかみ
おかやき,岡焼き
おき,−おき
おきどけい,置時計
おきば,置き場
おきもの,置き物
おきる,起きる
おきる,起きる
おきる,起きる
おきる,起きる
おくする,臆する
おくづけ,奥付け
おくて,おくて
おくのて,奥の手
おくび,おくび
おくふかい,奥深い
おくまる,奥まる
おくゆき,奥行き
おくりさき,送り先
おくりもの,贈り物
おける,於ける
おこし,おこし
おこす,起こす
おこす,起こす
おこす,起こす
おこない,行ない
おこなう,行なう
おこり,おこり
おごり,おごり
おこる,おこる
おこる,おこる
おこる,起こる
おごる,おごる
おこわ,おこわ
おさえ,押さえ
おさげ,おさげ
おさなごころ,幼な心
おさまり,納まり
おさまる,治まる
おさまる,収まる
おさまる,納まる
おさむい,お寒い
おさめる,治める
おさめる,収める
おさめる,収める
おさめる,収める
おさめる,修める
おさめる,納める
おさめる,納める
おしい,惜しい
おしいれ,押入れ
おしうり,押売り
おしえご,教え子
おしえる,教える
おじぎ,お辞儀
おしげ,惜し気
おじけ,怖じ気
おしちや,お七夜
おしば,押し葉
おしば,押し葉
おしべ,雄しべ
おしむ,惜しむ
おしむぎ,押し麦
おしめ,おしめ
おせじ,お世辞
おそれる,恐れる
おそわる,教わる
おぞん,オゾン
おたがい,お互い
おだて,おだて
おだやか,穏やか
おちど,おちど
おちば,落ち葉
おちぼ,落ち穂
おちめ,落ち目
おちる,落ちる
おって,追って
おっと,おっと
おつむ,おつむ
おつゆ,おつゆ
おでき,おでき
おでこ,おでこ
おてて,お手々
おでん,おでん
おとう,おとう
おとぎばなし,お伽話
おどけ,おどけ
おとこじょたい,男世帯
おとこだて,男だて
おとこなき,男泣き
おとこのこ,男の子
おとこぶり,男ぶり
おとこもち,男持ち
おとさた,音沙汰
おとしだま,お年玉
おとす,落とす
おとす,落とす
おとす,落とす
おどす,おどす
おどす,おどす
おとずれる,訪れる
おとな,おとな
おとなし,音無し
おとめ,おとめ
おとり,おとり
おどりこ,踊り子
おとろえる,衰える
おとろえる,衰える
おどろかす,驚かす
おないどし,同い年
おないどし,同い年
おなか,おなか
おながれ,お流れ
おなご,おなご
おなじく,同じく
おのこ,おのこ
おのれ,おのれ
おのれ,おのれ
おはぎ,おはぎ
おばけ,お化け
おはこ,おはこ
おばな,おばな
おはなばたけ,お花畑
おひや,おひや
おひや,おひや
