かきだす,書き出す
かぎだす,かぎ出す
かきつけ,書き付け
かきとり,書き取り
かきとる,書きとる
かきなおす,書き直す
かきながす,書き流す
かきぬき,書き抜き
かきぬく,書き抜く
かきのこす,書き残す
かきのこす,書き残す
かきみだす,かき乱す
かきみだす,掻き乱す
かきもち,かきもち
かきもの,書きもの
かぎりない,限りない
かきわり,書き割り
かくかく,かくかく
かくしだて,隠し立て
かくてる,カクテル
かくまう,かくまう
かけあい,掛け合い
かけあい,掛け合い
かけあう,かけあう
かけうり,掛け売り
かけがえ,かけがえ
かけこむ,かけ込む
かけだす,かけ出す
かけちがう,かけ違う
かけっこ,かけっこ
かけとり,掛け取り
かけひき,かけひき
かけぶとん,掛け蒲団
かけもち,かけもち
かけもどる,かけ戻る
かけよる,かけ寄る
かげろう,かげろう
かこつけ,かこつけ
かさかさ,かさかさ
がさがさ,がさがさ
かさねがさね,重ね重ね
かさばる,かさばる
かさぶた,かさぶた
かじかむ,かじかむ
かしかり,貸し借り
かしきり,貸し切り
かしきる,貸し切る
かしげる,かしげる
かじける,かじける
かしこうせん,可視光線
かしこむ,かしこむ
かしだおれ,貸し倒れ
かしだし,貸し出し
かしだす,貸し出す
かしつけ,貸し付け
かしゃくない,仮借ない
かしわで,かしわ手
かすがい,かすがい
かすてら,カステラ
かすめる,かすめる
かすめる,かすめる
かすれる,かすれる
かすれる,かすれる
かぜあたり,風当たり
かぞえきる,数え切る
がそりん,ガソリン
がそりん,ガソリン
がたい,−がたい
がたおち,がた落ち
かたかた,かたかた
がたがた,がたがた
かたくな,かたくな
かたぐるしい,固苦しい
かたちんば,片ちんば
かたづく,かたづく
がたつく,がたつく
かたづける,片付ける
かたっぱし,片っぱし
かたっぽう,片っぽう
かたておち,片手落ち
かたどる,かたどる
かたはだぬぐ,片肌ぬぐ
がたぴし,がたぴし
かたぼうかつぐ,片棒担ぐ
かたよせる,片寄せる
かたよる,かたよる
かたらう,かたらう
かたりふるす,語り古す
かたろぐ,カタログ
かたわら,かたわら
かちあう,かちあう
かちえる,かち得る
かちかち,かちかち
がちがち,がちがち
かちこし,勝ち越し
かちこし,勝ち越し
かちこす,勝ち越す
かちすすむ,勝ち進む
かちどき,勝ちどき
かちとる,かちとる
かちとる,勝ち取る
かちぬく,勝ち抜く
かちほこる,勝ち誇る
かちまけ,勝ち負け
かちゃり,かちゃり
がちゃり,がちゃり
がちょう,がちょう
かつえる,かつえる
かつかつ,かつかつ
かつがつ,かつがつ
がつがつ,がつがつ
がっかり,がっかり
かつぎや,かつぎ屋
かっきり,かっきり
がっくり,がっくり
かっこう,かっこう
かっこう,かっこう
がっしょうれんしょう,合縦連衡
がっしり,がっしり
かっちり,かっちり
がっちり,がっちり
がっぷり,がっぷり
かつれつ,カツレツ
がてら,−がてら
がでんいんすい,我田引水
かどだてる,角だてる
かなえる,かなえる
かながき,かな書き
かなきりごえ,金切り声
かなしがる,悲しがる
かなだらい,金だらい
かならずしも,必ずしも
かなりあ,カナリア
かねがね,かねがね
かねまわり,金まわり
かびくさい,かび臭い
かふぇえ,カフェー
がぶがぶ,がぶがぶ
かぶさる,かぶさる
かぶせる,かぶせる
かぶれる,かぶれる
かぼちゃ,かぼちゃ
かまきり,かまきり
かまける,かまける
かまぼこ,かまぼこ
かみあい,かみ合い
かみあう,かみ合う
かみがかり,神がかり
がみがみ,がみがみ
かみきる,かみ切る
かみころす,かみ殺す
かみさん,かみさん
かみそり,かみそり
かみつく,かみつく
かみやすり,紙やすり
がめつい,がめつい
がやがや,がやがや
かやぶき,かやぶき
かよわい,かよわい
かよわい,かよわい
からいばり,空威張り
からいばり,空威張り
からかう,からかう
からかぜ,からかぜ
からから,からから
からから,からから
からから,からから
からから,カラカラ
がらがら,がらがら
がらがら,がらがら
からくさもよう,唐草模様
からくじ,からくじ
がらくた,がらくた
からくり,からくり
からげる,からげる
からころ,からころ
がらすど,ガラス戸
がらすばち,ガラス鉢
からたち,からたち
からっぽ,からっぽ
からまつ,からまつ
からまる,からまる
がらみ,−がらみ
からめて,からめ手
からめる,からめる
がらんと,がらんと
かりいれ,刈り入れ
かりいれ,借り入れ
かりかり,かりかり
がりがり,がりがり
がりがり,がりがり
かりきる,借り切る
かりずまい,仮住まい
かりずまい,仮住まい
かりそめ,かりそめ
かりたおす,借り倒す
かりだす,借り出す
かりだす,狩り出す
かりとる,刈り取る
かりはらう,刈り払う
かるがるしい,軽々しい
かるがるしい,軽々しい
かるはずみ,軽はずみ
