一中	169
強奪	ごうだつ
強盗	ごうとう
強欲	ごうよく
強力	ごうりき
強飯	こわいい
強飯	こわめし
強い	つよい
強気	つよき
強腰	つよごし
強さ	つよさ
強火	つよび
強み	つよみ
奇襲	きしゅう
逆襲	ぎゃくしゅう
急襲	きゅうしゅう
空襲	くうしゅう
熊襲	くまそ
世襲	せしゅう
踏襲	とうしゅう
夜襲	やしゅう
来襲	らいしゅう

強風	106
強圧	きょうあつ
強化	きょうか
強健	きょうけん
強権	きょうけん
強固	きょうこ
強硬	きょうこう
強行	きょうこう
強豪	きょうごう
強国	きょうこく
強者	きょうしゃ
強弱	きょうじゃく
強襲	きょうしゅう
強震	きょうしん
強靭	きょうじん
強制	きょうせい
強勢	きょうせい
強請	きょうせい
強壮	きょうそう
強打	きょうだ
強大	きょうだい
強調	きょうちょう
強敵	きょうてき
強度	きょうど
強要	きょうよう
強力	きょうりょく
強烈	きょうれつ
強引	ごういん
強姦	ごうかん
強情	ごうじょう
強請	ごうせい
強奪	ごうだつ
強盗	ごうとう
強欲	ごうよく
強力	ごうりき
強飯	こわいい
強飯	こわめし
強い	つよい
強気	つよき
強腰	つよごし
強さ	つよさ
強火	つよび
強み	つよみ
秋風	あきかぜ
悪風	あくふう
朝風	あさかぜ
雨風	あめかぜ
威風	いふう
遺風	いふう
大風	おおかぜ
海風	かいふう
学風	がくふう
家風	かふう
画風	がふう
神風	かみかぜ
川風	かわかぜ
寒風	かんぷう
北風	きたかぜ
気風	きふう
颶風	ぐふう
薫風	くんぷう
芸風	げいふう
校風	こうふう
国風	こくふう
東風	こち
古風	こふう
作風	さくふう
潮風	しおかぜ
疾風	しっぷう
秋風	しゅうふう
春風	しゅんぷう
醇風	じゅんぷう
順風	じゅんぷう
松風	しょうふう
涼風	すすかぜ
旋風	せんぷう
台風	たいふう
中風	ちゅうぶう
通風	つうふう
突風	とっぷう
波風	なみかぜ
南風	なんぷう
軟風	なんぷう
西風	にしかぜ
熱風	ねっぷう
爆風	ばくふう
破風	はふ
春風	はるかぜ
蛮風	ばんぷう
東風	ひがしかぜ
微風	びふう
美風	びふう
屏風	びょうぶ
弊風	へいふう
暴風	ぼうふう
防風	ぼうふう
松風	まつかぜ
南風	みなみかぜ
昔風	むかしふう
無風	むふう
山風	やまかぜ
夕風	ゆうかぜ
洋風	ようふう
夜風	よかぜ
涼風	りょうふう
烈風	れっぷう
和風	わふう

弾弓	12
弾圧	だんあつ
弾劾	だんがい
弾丸	だんがん
弾痕	だんこん
弾性	だんせい
弾奏	だんそう
弾道	だんどう
弾薬	だんやく
弾力	だんりょく
弾き	はじき
弾み	はずみ
弾く	ひく

役牛	16
役務	えきむ
役員	やくいん
役柄	やくがら
役者	やくしゃ
役所	やくしょ
役僧	やくそう
役得	やくとく
役人	やくにん
役場	やくば
役目	やくめ
役割	やくわり
水牛	すいぎゅう
種牛	たねうし
乳牛	ちちうし
闘牛	とうぎゅう
乳牛	にゅうぎゅう

待球	26
待機	たいき
待遇	たいぐう
待避	たいひ
待望	たいぼう
待ち	まち
待合	まちあい
待つ	まつ
眼球	がんきゅう
気球	ききゅう
血球	けっきゅう
硬球	こうきゅう
四球	しきゅう
蹴球	しゅうきゅう
卓球	たっきゅう
地球	ちきゅう
直球	ちょっきゅう
庭球	ていきゅう
電球	でんきゅう
投球	とうきゅう
撞球	どうきゅう
軟球	なんきゅう
排球	はいきゅう
半球	はんきゅう
野球	やきゅう
琉球	りゅうきゅう
篭球	ろうきゅう

待遇	16
待機	たいき
待避	たいひ
待望	たいぼう
待ち	まち
待合	まちあい
待つ	まつ
奇遇	きぐう
境遇	きょうぐう
厚遇	こうぐう
処遇	しょぐう
遭遇	そうぐう
知遇	ちぐう
不遇	ふぐう
優遇	ゆうぐう
冷遇	れいぐう
礼遇	れいぐう

律宗	6
律儀	りちぎ
律動	りつどう
改宗	かいしゅう
真宗	しんしゅう
禅宗	ぜんしゅう
祖宗	そそう

後住	62
後足	あとあし
後味	あとあじ
後口	あとくち
後先	あとさき
後産	あとざん
後足	うしろあし
後髪	うしろがみ
後姿	うしろすがた
後楯	うしろだて
後手	うしろで
後幅	うしろはば
後前	うしろまえ
後指	うしろゆび
後胤	こういん
後衛	こうえい
後裔	こうえい
後援	こうえん
後悔	こうかい
後学	こうがく
後期	こうき
後記	こうき
後継	こうけい
後見	こうけん
後顧	こうこ
後事	こうじ
後者	こうしゃ
後述	こうじゅつ
後身	こうしん
後進	こうしん
後世	こうせい
後続	こうぞく
後退	こうたい
後代	こうだい
後難	こうなん
後任	こうにん
後年	こうねん
後輩	こうはい
後発	こうはつ
後半	こうはん
後便	こうびん
後部	こうぶ
後篇	こうへん
後方	こうほう
後列	こうれつ
後家	ごけ
後光	ごこう
後妻	ごさい
後日	ごじつ
後生	ごしょう
後世	ごせ
後手	ごて
後日	ごにち
後夜	ごや
後産	のちざん
後々	のちのち
安住	あんじゅう
移住	いじゅう
永住	えいじゅう
居住	きょじゅう
在住	ざいじゅう
常住	じょうじゅう
定住	ていじゅう

後宮	66
後足	あとあし
後味	あとあじ
後口	あとくち
後先	あとさき
後産	あとざん
後足	うしろあし
後髪	うしろがみ
後姿	うしろすがた
後楯	うしろだて
後手	うしろで
後幅	うしろはば
後前	うしろまえ
後指	うしろゆび
後胤	こういん
後衛	こうえい
後裔	こうえい
後援	こうえん
後悔	こうかい
後学	こうがく
後期	こうき
後記	こうき
後継	こうけい
後見	こうけん
後顧	こうこ
後事	こうじ
後者	こうしゃ
後述	こうじゅつ
後身	こうしん
後進	こうしん
後世	こうせい
後続	こうぞく
後退	こうたい
後代	こうだい
後難	こうなん
後任	こうにん
後年	こうねん
後輩	こうはい
後発	こうはつ
後半	こうはん
後便	こうびん
後部	こうぶ
後篇	こうへん
後方	こうほう
後列	こうれつ
後家	ごけ
後光	ごこう
後妻	ごさい
後日	ごじつ
後生	ごしょう
後世	ごせ
後手	ごて
後日	ごにち
後夜	ごや
後産	のちざん
後々	のちのち
行宮	あんぐう
王宮	おうきゅう
参宮	さんぐう
子宮	しきゅう
神宮	じんぐう
中宮	ちゅうぐう
東宮	とうぐう
迷宮	めいきゅう
宵宮	よいみや
離宮	りきゅう
竜宮	りゅうぐう

後憂	56
後足	あとあし
後味	あとあじ
後口	あとくち
後先	あとさき
後産	あとざん
後足	うしろあし
後髪	うしろがみ
後姿	うしろすがた
後楯	うしろだて
後手	うしろで
後幅	うしろはば
後前	うしろまえ
後指	うしろゆび
後胤	こういん
後衛	こうえい
後裔	こうえい
後援	こうえん
後悔	こうかい
後学	こうがく
後期	こうき
後記	こうき
後継	こうけい
後見	こうけん
後顧	こうこ
後事	こうじ
後者	こうしゃ
後述	こうじゅつ
後身	こうしん
後進	こうしん
後世	こうせい
後続	こうぞく
後退	こうたい
後代	こうだい
後難	こうなん
後任	こうにん
後年	こうねん
後輩	こうはい
後発	こうはつ
後半	こうはん
後便	こうびん
後部	こうぶ
後篇	こうへん
後方	こうほう
後列	こうれつ
後家	ごけ
後光	ごこう
後妻	ごさい
後日	ごじつ
後生	ごしょう
後世	ごせ
後手	ごて
後日	ごにち
後夜	ごや
後産	のちざん
後々	のちのち
杞憂	きゆう

後流	96
後足	あとあし
後味	あとあじ
後口	あとくち
後先	あとさき
後産	あとざん
後足	うしろあし
後髪	うしろがみ
後姿	うしろすがた
後楯	うしろだて
後手	うしろで
後幅	うしろはば
後前	うしろまえ
後指	うしろゆび
後胤	こういん
後衛	こうえい
後裔	こうえい
後援	こうえん
後悔	こうかい
後学	こうがく
後期	こうき
後記	こうき
後継	こうけい
後見	こうけん
後顧	こうこ
後事	こうじ
後者	こうしゃ
後述	こうじゅつ
後身	こうしん
後進	こうしん
後世	こうせい
後続	こうぞく
後退	こうたい
後代	こうだい
後難	こうなん
後任	こうにん
後年	こうねん
後輩	こうはい
後発	こうはつ
後半	こうはん
後便	こうびん
後部	こうぶ
後篇	こうへん
後方	こうほう
後列	こうれつ
後家	ごけ
後光	ごこう
後妻	ごさい
後日	ごじつ
後生	ごしょう
後世	ごせ
後手	ごて
後日	ごにち
後夜	ごや
後産	のちざん
後々	のちのち
亜流	ありゅう
一流	いちりゅう
海流	かいりゅう
下流	かりゅう
河流	かりゅう
我流	がりゅう
寒流	かんりゅう
貫流	かんりゅう
還流	かんりゅう
逆流	ぎゃくりゅう
急流	きゅうりゅう
気流	きりゅう
渓流	けいりゅう
激流	げきりゅう
源流	げんりゅう
交流	こうりゅう
合流	ごうりゅう
主流	しゅりゅう
上流	じょうりゅう
女流	じょりゅう
支流	しりゅう
時流	じりゅう
水流	すいりゅう
清流	せいりゅう
対流	たいりゅう
濁流	だくりゅう
暖流	だんりゅう
嫡流	ちゃくりゅう
中流	ちゅうりゅう
潮流	ちょうりゅう
直流	ちょくりゅう
電流	でんりゅう
漂流	ひょうりゅう
風流	ふうりゅう
浮流	ふりゅう
噴流	ふんりゅう
放流	ほうりゅう
奔流	ほんりゅう
本流	ほんりゅう
末流	まつりゅう
湾流	わんりゅう

御中	67
御召	おめし
御身	おんみ
御苑	ぎょえん
御者	ぎょしゃ
御製	ぎょせい
御所	ごしょ
御前	ごぜん
御殿	ごてん
御飯	ごはん
御免	ごめん
御用	ごよう
御覧	ごらん
御陵	ごりょう
御酒	みき
御代	みよ
意中	いちゅう
懐中	かいちゅう
海中	かいちゅう
渦中	かちゅう
家中	かちゅう
火中	かちゅう
寒中	かんちゅう
眼中	がんちゅう
忌中	きちゅう
宮中	きゅうちゅう
胸中	きょうちゅう
空中	くうちゅう
最中	さいちゅう
在中	ざいちゅう
作中	さくちゅう
山中	さんちゅう
市中	しちゅう
車中	しゃちゅう
集中	しゅうちゅう
掌中	しょうちゅう
城中	じょうちゅう
暑中	しょちゅう
女中	じょちゅう
心中	しんじゅう
心中	しんちゅう
陣中	じんちゅう
水中	すいちゅう
背中	せなか
戦中	せんちゅう
卒中	そっちゅう
地中	ちちゅう
適中	てきちゅう
道中	どうちゅう
途中	とちゅう
土中	どちゅう
日中	にっちゅう
熱中	ねっちゅう
年中	ねんじゅう
人中	ひとなか
日中	ひなか
病中	びょうちゅう
昼中	ひるなか
道中	みちなか
夢中	むちゅう
命中	めいちゅう
喪中	もちゅう
最中	もなか
夜中	やちゅう
山中	やまなか
夜中	よなか
連中	れんじゅう
連中	れんちゅう

御集	36
御召	おめし
御中	おんちゅう
御身	おんみ
御苑	ぎょえん
御者	ぎょしゃ
御製	ぎょせい
御所	ごしょ
御前	ごぜん
御殿	ごてん
御飯	ごはん
御免	ごめん
御用	ごよう
御覧	ごらん
御陵	ごりょう
御酒	みき
御代	みよ
蝟集	いしゅう
歌集	かしゅう
凝集	ぎょうしゅう
句集	くしゅう
群集	ぐんしゅう
結集	けっしゅう
採集	さいしゅう
参集	さんしゅう
詩集	ししゅう
収集	しゅうしゅう
召集	しょうしゅう
招集	しょうしゅう
選集	せんしゅう
全集	ぜんしゅう
徴集	ちょうしゅう
特集	とくしゅう
文集	ぶんしゅう
編集	へんしゅう
募集	ぼしゅう
密集	みっしゅう

復仇	19
復員	ふくいん
復縁	ふくえん
復金	ふくきん
復元	ふくげん
復原	ふくげん
復習	ふくしゅう
復讎	ふくしゅう
復唱	ふくしょう
復職	ふくしょく
復籍	ふくせき
復調	ふくちょう
復配	ふくはい
復命	ふくめい
復路	ふくろ
復活	ふっかつ
復帰	ふっき
復旧	ふっきゅう
復古	ふっこ
復興	ふっこう

復旧	22
復員	ふくいん
復縁	ふくえん
復金	ふくきん
復元	ふくげん
復原	ふくげん
復習	ふくしゅう
復讎	ふくしゅう
復唱	ふくしょう
復職	ふくしょく
復籍	ふくせき
復調	ふくちょう
復配	ふくはい
復命	ふくめい
復路	ふくろ
復活	ふっかつ
復帰	ふっき
復仇	ふっきゅう
復古	ふっこ
復興	ふっこう
懐旧	かいきゅう
故旧	こきゅう
新旧	しんきゅう

復習	37
復員	ふくいん
復縁	ふくえん
復金	ふくきん
復元	ふくげん
復原	ふくげん
復讎	ふくしゅう
復唱	ふくしょう
復職	ふくしょく
復籍	ふくせき
復調	ふくちょう
復配	ふくはい
復命	ふくめい
復路	ふくろ
復活	ふっかつ
復帰	ふっき
復仇	ふっきゅう
復旧	ふっきゅう
復古	ふっこ
復興	ふっこう
悪習	あくしゅう
因習	いんしゅう
演習	えんしゅう
温習	おんしゅう
学習	がくしゅう
慣習	かんしゅう
奇習	きしゅう
旧習	きゅうしゅう
教習	きょうしゅう
講習	こうしゅう
自習	じしゅう
実習	じっしゅう
常習	じょうしゅう
独習	どくしゅう
風習	ふうしゅう
補習	ほしゅう
予習	よしゅう
練習	れんしゅう

復讐	20
復員	ふくいん
復縁	ふくえん
復金	ふくきん
復元	ふくげん
復原	ふくげん
復習	ふくしゅう
復讎	ふくしゅう
復唱	ふくしょう
復職	ふくしょく
復籍	ふくせき
復調	ふくちょう
復配	ふくはい
復命	ふくめい
復路	ふくろ
復活	ふっかつ
復帰	ふっき
復仇	ふっきゅう
復旧	ふっきゅう
復古	ふっこ
復興	ふっこう

微粒	24
微温	びおん
微音	びおん
微光	びこう
微行	びこう
微細	びさい
微罪	びざい
微弱	びじゃく
微小	びしょう
微笑	びしょう
微震	びしん
微賎	びせん
微衷	びちゅう
微熱	びねつ
微々	びび
微風	びふう
微分	びぶん
微妙	びみょう
微量	びりょう
微力	びりょく
微塵	みじん
粟粒	あわつぶ
小粒	こつぶ
米粒	こめつぶ
飯粒	めしつぶ

微風	83
微温	びおん
微音	びおん
微光	びこう
微行	びこう
微細	びさい
微罪	びざい
微弱	びじゃく
微小	びしょう
微笑	びしょう
微震	びしん
微賎	びせん
微衷	びちゅう
微熱	びねつ
微々	びび
微分	びぶん
微妙	びみょう
微量	びりょう
微力	びりょく
微塵	みじん
秋風	あきかぜ
悪風	あくふう
朝風	あさかぜ
雨風	あめかぜ
威風	いふう
遺風	いふう
大風	おおかぜ
海風	かいふう
学風	がくふう
家風	かふう
画風	がふう
神風	かみかぜ
川風	かわかぜ
寒風	かんぷう
北風	きたかぜ
気風	きふう
強風	きょうふう
颶風	ぐふう
薫風	くんぷう
芸風	げいふう
校風	こうふう
国風	こくふう
東風	こち
古風	こふう
作風	さくふう
潮風	しおかぜ
疾風	しっぷう
秋風	しゅうふう
春風	しゅんぷう
醇風	じゅんぷう
順風	じゅんぷう
松風	しょうふう
涼風	すすかぜ
旋風	せんぷう
台風	たいふう
中風	ちゅうぶう
通風	つうふう
突風	とっぷう
波風	なみかぜ
南風	なんぷう
軟風	なんぷう
西風	にしかぜ
熱風	ねっぷう
爆風	ばくふう
破風	はふ
春風	はるかぜ
蛮風	ばんぷう
東風	ひがしかぜ
美風	びふう
屏風	びょうぶ
弊風	へいふう
暴風	ぼうふう
防風	ぼうふう
松風	まつかぜ
南風	みなみかぜ
昔風	むかしふう
無風	むふう
山風	やまかぜ
夕風	ゆうかぜ
洋風	ようふう
夜風	よかぜ
涼風	りょうふう
烈風	れっぷう
和風	わふう

徳風	73
徳育	とくいく
徳義	とくぎ
徳性	とくせい
徳政	とくせい
徳望	とくぼう
徳用	とくよう
徳利	とくり
徳化	とっか
秋風	あきかぜ
悪風	あくふう
朝風	あさかぜ
雨風	あめかぜ
威風	いふう
遺風	いふう
大風	おおかぜ
海風	かいふう
学風	がくふう
家風	かふう
画風	がふう
神風	かみかぜ
川風	かわかぜ
寒風	かんぷう
北風	きたかぜ
気風	きふう
強風	きょうふう
颶風	ぐふう
薫風	くんぷう
芸風	げいふう
校風	こうふう
国風	こくふう
東風	こち
古風	こふう
作風	さくふう
潮風	しおかぜ
疾風	しっぷう
秋風	しゅうふう
春風	しゅんぷう
醇風	じゅんぷう
順風	じゅんぷう
松風	しょうふう
涼風	すすかぜ
旋風	せんぷう
台風	たいふう
中風	ちゅうぶう
通風	つうふう
突風	とっぷう
波風	なみかぜ
南風	なんぷう
軟風	なんぷう
西風	にしかぜ
熱風	ねっぷう
爆風	ばくふう
破風	はふ
春風	はるかぜ
蛮風	ばんぷう
東風	ひがしかぜ
微風	びふう
美風	びふう
屏風	びょうぶ
弊風	へいふう
暴風	ぼうふう
防風	ぼうふう
松風	まつかぜ
南風	みなみかぜ
昔風	むかしふう
無風	むふう
山風	やまかぜ
夕風	ゆうかぜ
洋風	ようふう
夜風	よかぜ
涼風	りょうふう
烈風	れっぷう
和風	わふう

徴収	20
徴集	ちょうしゅう
徴税	ちょうぜい
徴発	ちょうはつ
徴兵	ちょうへい
徴募	ちょうぼ
徴用	ちょうよう
回収	かいしゅう
吸収	きゅうしゅう
月収	げっしゅう
減収	げんしゅう
査収	さしゅう
実収	じっしゅう
接収	せっしゅう
増収	ぞうしゅう
撤収	てっしゅう
年収	ねんしゅう
買収	ばいしゅう
没収	ぼっしゅう
未収	みしゅう
領収	りょうしゅう

徴集	25
徴収	ちょうしゅう
徴税	ちょうぜい
徴発	ちょうはつ
徴兵	ちょうへい
徴募	ちょうぼ
徴用	ちょうよう
蝟集	いしゅう
歌集	かしゅう
凝集	ぎょうしゅう
句集	くしゅう
群集	ぐんしゅう
結集	けっしゅう
採集	さいしゅう
参集	さんしゅう
詩集	ししゅう
収集	しゅうしゅう
召集	しょうしゅう
招集	しょうしゅう
選集	せんしゅう
全集	ぜんしゅう
特集	とくしゅう
文集	ぶんしゅう
編集	へんしゅう
募集	ぼしゅう
密集	みっしゅう

心中	79
心地	ここち
心得	こころえ
心根	こころね
心外	しんがい
心眼	しんがん
心願	しんがん
心悸	しんき
心境	しんきょう
心血	しんけつ
心魂	しんこん
心事	しんじ
心証	しんしょう
心情	しんじょう
心神	しんしん
心身	しんしん
心酔	しんすい
心性	しんせい
心臓	しんぞう
心底	しんそこ
心痛	しんつう
心底	しんてい
心配	しんぱい
心服	しんぷく
心棒	しんぼう
心理	しんり
心霊	しんれい
心労	しんろう
心太	ところてん
意中	いちゅう
御中	おんちゅう
懐中	かいちゅう
海中	かいちゅう
渦中	かちゅう
家中	かちゅう
火中	かちゅう
寒中	かんちゅう
眼中	がんちゅう
忌中	きちゅう
宮中	きゅうちゅう
胸中	きょうちゅう
空中	くうちゅう
最中	さいちゅう
在中	ざいちゅう
作中	さくちゅう
山中	さんちゅう
市中	しちゅう
車中	しゃちゅう
集中	しゅうちゅう
掌中	しょうちゅう
城中	じょうちゅう
暑中	しょちゅう
女中	じょちゅう
陣中	じんちゅう
水中	すいちゅう
背中	せなか
戦中	せんちゅう
卒中	そっちゅう
地中	ちちゅう
適中	てきちゅう
道中	どうちゅう
途中	とちゅう
土中	どちゅう
日中	にっちゅう
熱中	ねっちゅう
年中	ねんじゅう
人中	ひとなか
日中	ひなか
病中	びょうちゅう
昼中	ひるなか
道中	みちなか
夢中	むちゅう
命中	めいちゅう
喪中	もちゅう
最中	もなか
夜中	やちゅう
山中	やまなか
夜中	よなか
連中	れんじゅう
連中	れんちゅう

心友	44
心地	ここち
心得	こころえ
心根	こころね
心外	しんがい
心眼	しんがん
心願	しんがん
心悸	しんき
心境	しんきょう
心血	しんけつ
心魂	しんこん
心事	しんじ
心中	しんじゅう
心証	しんしょう
心情	しんじょう
心神	しんしん
心身	しんしん
心酔	しんすい
心性	しんせい
心臓	しんぞう
心底	しんそこ
心中	しんちゅう
心痛	しんつう
心底	しんてい
心配	しんぱい
心服	しんぷく
心棒	しんぼう
心理	しんり
心霊	しんれい
心労	しんろう
心太	ところてん
悪友	あくゆう
畏友	いゆう
学友	がくゆう
級友	きゅうゆう
旧友	きゅうゆう
交友	こうゆう
校友	こうゆう
師友	しゆう
親友	しんゆう
戦友	せんゆう
知友	ちゆう
盟友	めいゆう
療友	りょうゆう
良友	りょうゆう

必中	65
必ず	かならず
必携	ひっけい
必死	ひっし
必至	ひっし
必須	ひっしゅ
必需	ひつじゅ
必勝	ひっしょう
必定	ひつじょう
必須	ひっす
必然	ひつぜん
必読	ひつどく
必要	ひつよう
意中	いちゅう
御中	おんちゅう
懐中	かいちゅう
海中	かいちゅう
渦中	かちゅう
家中	かちゅう
火中	かちゅう
寒中	かんちゅう
眼中	がんちゅう
忌中	きちゅう
宮中	きゅうちゅう
胸中	きょうちゅう
空中	くうちゅう
最中	さいちゅう
在中	ざいちゅう
作中	さくちゅう
山中	さんちゅう
市中	しちゅう
車中	しゃちゅう
集中	しゅうちゅう
掌中	しょうちゅう
城中	じょうちゅう
暑中	しょちゅう
女中	じょちゅう
心中	しんじゅう
心中	しんちゅう
陣中	じんちゅう
水中	すいちゅう
背中	せなか
戦中	せんちゅう
卒中	そっちゅう
地中	ちちゅう
適中	てきちゅう
道中	どうちゅう
途中	とちゅう
土中	どちゅう
日中	にっちゅう
熱中	ねっちゅう
年中	ねんじゅう
人中	ひとなか
日中	ひなか
病中	びょうちゅう
昼中	ひるなか
道中	みちなか
夢中	むちゅう
命中	めいちゅう
喪中	もちゅう
最中	もなか
夜中	やちゅう
山中	やまなか
夜中	よなか
連中	れんじゅう
連中	れんちゅう

必修	18
必ず	かならず
必携	ひっけい
必死	ひっし
必至	ひっし
必須	ひっしゅ
必需	ひつじゅ
必勝	ひっしょう
必定	ひつじょう
必須	ひっす
必然	ひつぜん
必読	ひつどく
必要	ひつよう
改修	かいしゅう
監修	かんしゅう
研修	けんしゅう
編修	へんしゅう
補修	ほしゅう
履修	りしゅう

忌中	55
忌む	いむ
忌日	きにち
忌避	きひ
意中	いちゅう
御中	おんちゅう
懐中	かいちゅう
海中	かいちゅう
渦中	かちゅう
家中	かちゅう
火中	かちゅう
寒中	かんちゅう
眼中	がんちゅう
宮中	きゅうちゅう
胸中	きょうちゅう
空中	くうちゅう
最中	さいちゅう
在中	ざいちゅう
作中	さくちゅう
山中	さんちゅう
市中	しちゅう
車中	しゃちゅう
集中	しゅうちゅう
掌中	しょうちゅう
城中	じょうちゅう
暑中	しょちゅう
女中	じょちゅう
心中	しんじゅう
心中	しんちゅう
陣中	じんちゅう
水中	すいちゅう
背中	せなか
戦中	せんちゅう
卒中	そっちゅう
地中	ちちゅう
適中	てきちゅう
道中	どうちゅう
途中	とちゅう
土中	どちゅう
日中	にっちゅう
熱中	ねっちゅう
年中	ねんじゅう
人中	ひとなか
日中	ひなか
病中	びょうちゅう
昼中	ひるなか
道中	みちなか
夢中	むちゅう
命中	めいちゅう
喪中	もちゅう
最中	もなか
夜中	やちゅう
山中	やまなか
夜中	よなか
連中	れんじゅう
連中	れんちゅう

忍従	14
忍び	しのび
忍ぶ	しのぶ
忍苦	にんく
忍術	にんじゅつ
忍耐	にんたい
屈従	くつじゅう
侍従	じじゅう
主従	しゅうじゅう
主従	しゅじゅう
専従	せんじゅう
追従	ついじゅう
追従	ついしょう
服従	ふくじゅう
盲従	もうじゅう

忘憂	4
忘恩	ぼうおん
忘却	ぼうきゃく
忘れ	わすれ
杞憂	きゆう

忙中	54
忙殺	ぼうさつ
意中	いちゅう
御中	おんちゅう
懐中	かいちゅう
海中	かいちゅう
渦中	かちゅう
家中	かちゅう
火中	かちゅう
寒中	かんちゅう
眼中	がんちゅう
忌中	きちゅう
宮中	きゅうちゅう
胸中	きょうちゅう
空中	くうちゅう
最中	さいちゅう
在中	ざいちゅう
作中	さくちゅう
山中	さんちゅう
市中	しちゅう
車中	しゃちゅう
集中	しゅうちゅう
掌中	しょうちゅう
城中	じょうちゅう
暑中	しょちゅう
女中	じょちゅう
心中	しんじゅう
心中	しんちゅう
陣中	じんちゅう
水中	すいちゅう
背中	せなか
戦中	せんちゅう
卒中	そっちゅう
地中	ちちゅう
適中	てきちゅう
道中	どうちゅう
途中	とちゅう
土中	どちゅう
日中	にっちゅう
熱中	ねっちゅう
年中	ねんじゅう
人中	ひとなか
日中	ひなか
病中	びょうちゅう
昼中	ひるなか
道中	みちなか
夢中	むちゅう
命中	めいちゅう
喪中	もちゅう
最中	もなか
夜中	やちゅう
山中	やまなか
夜中	よなか
連中	れんじゅう
連中	れんちゅう

応急	24
応援	おうえん
応酬	おうしゅう
応召	おうしょう
応接	おうせつ
応戦	おうせん
応待	おうたい
応諾	おうだく
応答	おうとう
応分	おうぶん
応募	おうぼ
応報	おうほう
応用	おうよう
火急	かきゅう
緩急	かんきゅう
危急	ききゅう
救急	きゅうきゅう
緊急	きんきゅう
早急	さっきゅう
至急	しきゅう
準急	じゅんきゅう
性急	せいきゅう
早急	そうきゅう
特急	とっきゅう
不急	ふきゅう

応酬	13
応援	おうえん
応急	おうきゅう
応召	おうしょう
応接	おうせつ
応戦	おうせん
応待	おうたい
応諾	おうだく
応答	おうとう
応分	おうぶん
応募	おうぼ
応報	おうほう
応用	おうよう
報酬	ほうしゅう

忠勇	16
忠義	ちゅうぎ
忠勤	ちゅうきん
忠言	ちゅうげん
忠孝	ちゅうこう
忠告	ちゅうこく
忠実	ちゅうじつ
忠臣	ちゅうしん
忠誠	ちゅうせい
忠節	ちゅうせつ
忠僕	ちゅうぼく
忠良	ちゅうりょう
義勇	ぎゆう
知勇	ちゆう
沈勇	ちんゆう
蛮勇	ばんゆう
武勇	ぶゆう

急流	67
急ぎ	いそぎ
急ぐ	いそぐ
急患	きゅうかん
急遽	きゅうきょ
急激	きゅうげき
急行	きゅうこう
急告	きゅうこく
急使	きゅうし
急死	きゅうし
急襲	きゅうしゅう
急所	きゅうしょ
急進	きゅうしん
急須	きゅうす
急性	きゅうせい
急造	きゅうぞう
急速	きゅうそく
急転	きゅうてん
急に	きゅうに
急派	きゅうは
急場	きゅうば
急迫	きゅうはく
急坂	きゅうはん
急病	きゅうびょう
急変	きゅうへん
急報	きゅうほう
急務	きゅうむ
急用	きゅうよう
亜流	ありゅう
一流	いちりゅう
海流	かいりゅう
下流	かりゅう
河流	かりゅう
我流	がりゅう
寒流	かんりゅう
貫流	かんりゅう
還流	かんりゅう
逆流	ぎゃくりゅう
気流	きりゅう
渓流	けいりゅう
激流	げきりゅう
源流	げんりゅう
交流	こうりゅう
合流	ごうりゅう
主流	しゅりゅう
上流	じょうりゅう
女流	じょりゅう
支流	しりゅう
時流	じりゅう
水流	すいりゅう
清流	せいりゅう
対流	たいりゅう
濁流	だくりゅう
暖流	だんりゅう
嫡流	ちゃくりゅう
中流	ちゅうりゅう
潮流	ちょうりゅう
直流	ちょくりゅう
電流	でんりゅう
漂流	ひょうりゅう
風流	ふうりゅう
浮流	ふりゅう
噴流	ふんりゅう
放流	ほうりゅう
奔流	ほんりゅう
本流	ほんりゅう
末流	まつりゅう
湾流	わんりゅう

急襲	36
急ぎ	いそぎ
急ぐ	いそぐ
急患	きゅうかん
急遽	きゅうきょ
急激	きゅうげき
急行	きゅうこう
急告	きゅうこく
急使	きゅうし
急死	きゅうし
急所	きゅうしょ
急進	きゅうしん
急須	きゅうす
急性	きゅうせい
急造	きゅうぞう
急速	きゅうそく
急転	きゅうてん
急に	きゅうに
急派	きゅうは
急場	きゅうば
急迫	きゅうはく
急坂	きゅうはん
急病	きゅうびょう
急変	きゅうへん
急報	きゅうほう
急務	きゅうむ
急用	きゅうよう
急流	きゅうりゅう
奇襲	きしゅう
逆襲	ぎゃくしゅう
強襲	きょうしゅう
空襲	くうしゅう
熊襲	くまそ
世襲	せしゅう
踏襲	とうしゅう
夜襲	やしゅう
来襲	らいしゅう

性急	27
性根	しょうね
性分	しょうぶん
性悪	しょうわる
性格	せいかく
性器	せいき
性交	せいこう
性向	せいこう
性行	せいこう
性質	せいしつ
性情	せいじょう
性的	せいてき
性能	せいのう
性癖	せいへき
性別	せいべつ
性欲	せいよく
応急	おうきゅう
火急	かきゅう
緩急	かんきゅう
危急	ききゅう
救急	きゅうきゅう
緊急	きんきゅう
早急	さっきゅう
至急	しきゅう
準急	じゅんきゅう
早急	そうきゅう
特急	とっきゅう
不急	ふきゅう

怨讐	4
