あいくるしい	愛くるしい
きりつめる	切りつめる
きりぬける	切り抜ける
きりひろげる	切り広げる
きりまわす	きりまわす
きろぐらむ	キログラム
きろわっと	キロワット
くいあらす	食い荒らす
くいあらためる	悔い改める
くいあわせ	食い合わせ
くいかかる	食いかかる
くいかける	食いかける
くいさがる	食いさがる
くいしばる	食いしばる
くいしんぼう	食いしん坊
くいたりる	食い足りる
くいちがう	くいちがう
くいちらす	食い散らす
くいつくす	食い尽くす
くいつぶし	食いつぶし
くいつぶす	食いつぶす
くいつめる	食いつめる
くいとめる	食い止める
くいのばし	食い延ばし
くいのばす	食い延ばす
くいはぐれ	食いはぐれ
くしけずる	くしけずる
ぐしょぬれ	ぐしょぬれ
くそおちつき	糞落ち着き
くたびれる	くたびれる
くだらない	くだらない
くつがえす	くつがえす
くつがえる	くつがえる
ぐっしょり	ぐっしょり
くっしょん	クッション
くっつける	くっつける
ぐっとくる	ぐっと来る
ぐっどばい	グッドバイ
くつろげる	くつろげる
くつわむし	くつわむし
くみあげる	汲み上げる
くみあわす	組み合わす
くみあわせ	組み合わせ
くみいれる	組み入れる
くみかえる	組み替える
くみたてる	組み立てる
くやしがる	くやしがる
くゆらせる	くゆらせる
ぐらいだあ	グライダー
くらいよう	食らい酔う
ぐらうんど	グラウンド
くらしっく	クラシック
くらしむき	暮らし向き
ぐらんぷり	グランプリ
くりあげる	繰り上げる
くりあわせ	繰り合わせ
くりいれる	繰り入れる
くりかえる	繰り替える
くりさげる	繰り下げる
くりすます	クリスマス
くりのべる	繰り延べる
くりひろげる	繰り広げる
くれかかる	暮れかかる
くれぐれも	くれぐれも
くろおばあ	クローバー
ぐろっきい	グロッキー
ぐろてすく	グロテスク
くわずぎらい	食わず嫌い
ぐんにゃり	ぐんにゃり
けおされる	気圧される
けしかける	けしかける
けしからん	けしからん
けしきばむ	けしきばむ
けしとめる	消し止める
けたちがい	けたちがい
けたはずれ	けたはずれ
けちくさい	けちくさい
けつまずく	けつまずく
げんごろう	げんごろう
けんする	検・験する
こいねがう	こいねがう
こうばしい	こうばしい
こうもりがさ	こうもり傘
こおちゃあ	コーチャー
ごおるでん	ゴールデン
こがねむし	こがねむし
こきおろす	こきおろす
こぎつける	こぎつける
こきまぜる	こきまぜる
こきみよい	小気味よい
こぎよせる	漕ぎ寄せる
こくのある	こくのある
こけおどし	こけおどし
こごえつく	こごえつく
ここかしこ	ここかしこ
こころやすだてに	心安立てに
ございます	ございます
こざかしい	小ざかしい
こざっぱり	小ざっぱり
ござります	ござります
こじあける	こじあける
こじつける	こじつける
こしらえる	こしらえる
こじらせる	こじらせる
こそばゆい	こそばゆい
こぢんまり	小ぢんまり
こっきり	−こっきり
ごったがえす	ごった返す
こていしさんぜい	固定資産税
こときれる	こときれる
ことごとく	ことごとく
ことづかる	ことづかる
ことづける	ことづける
こにくらしい	小憎らしい
こねまわす	こねまわす
このところ	このところ
このまがくれ	木の間隠れ
ごはさん	（御)破算
こびりつく	こびりつく
ごまのはえ	ごまのはえ
こまりはてる	困り果てる
こみあげる	こみあげる
こみゅにけ	コミュニケ
ごむてえぷ	ゴムテープ
こらしめる	こらしめる
こりかたまる	凝り固まる
これくらい	これくらい
こればかり	こればかり
ごろあわせ	語呂合わせ
ころげこむ	ころげ込む
ころげまわる	転げまわる
こんくうる	コンクール
こんさあと	コンサート
こんさいす	コンサイス
こんしいずん	今シーズン
こんせんと	コンセント
こんてすと	コンテスト
こんてなあ	コンテナー
こんでんす	コンデンス
こんにちは	こんにちは
こんにゃく	こんにゃく
こんばんは	こんばんは
さいどかあ	サイドカー
さえかえる	冴えかえる
さえわたる	冴えわたる
さがしあてる	探しあてる
さがしまわる	探しまわる
さがしもとめる	探し求める
さかだてる	さかだてる
さかのぼる	さかのぼる
さきおととい	先おととい
さきそろう	咲きそろう
さきにおう	咲きにおう
さきほこる	咲きほこる
さきみだれる	咲き乱れる
さぐりあてる	探りあてる
ささくれる	ささくれる
さざれいし	さざれいし
さしあたり	さしあたり
さしあたる	さしあたる
さしおさえる	差押さえる
さしかかる	さしかかる
さしさわる	さしさわる
さしせまる	さしせまる
さしたてる	差し立てる
さしちがえる	刺し違える
さしのべる	差し伸べる
さしはさむ	さしはさむ
さしむかい	差し向かい
さしむける	さしむける
さしわたし	さしわたし
させられる	させられる
さそいだす	さそい出す
さそいよせる	誘い寄せる
さっかりん	サッカリン
さつまいも	さつまいも
さとうきび	さとうきび
さなだむし	さなだむし
さようなら	さようなら
さらけだす	さらけ出す
さらされる	さらされる
さらでだに	さらでだに
さりげない	さりげない
さりげない	さり気ない
さるすべり	さるすべり
されこうべ	されこうべ
さわぎたてる	騒ぎ立てる
さんきゅう	サンキュー
さんしょう	さんしょう
しあさって	しあさって
しいたげる	しいたげる
じぇっとき	ジェット機
しぇぱあど	シェパード
しおらしい	しおらしい
しかたがない	仕方がない
しかたなしに	仕方なしに
しがみつく	しがみつく
しかるべき	しかるべき
しかれども	しかれども
しこうして	しこうして
しじみがい	しじみがい
しそこなう	しそこなう
したがって	したがって
したごしらえ	下ごしらえ
したたかもの	したたか者
したたらす	したたらす
したなめずり	舌なめずり
しつらえる	しつらえる
しなだれる	しなだれる
しにぞこない	死に損ない
しにたえる	死に絶える
じびいんこうか	耳鼻咽喉科
しびらせる	しびらせる
じふてりあ	ジフテリア
しぼりたて	しぼり立て
しみったれ	しみったれ
しめあげる	締めあげる
しめくくり	しめくくり
しめくくる	しめくくる
しめつける	しめつける
しめっぽい	湿めっぽい
じゃあじい	ジャージー
じゃがいも	じゃがいも
しゃがれる	しゃがれる
しゃくやく	しゃくやく
じゃけっと	ジャケット
しゃちほこ	しゃちほこ
しゃっきり	しゃっきり
しゃっくり	しゃっくり
しゃったあ	シャッター
しゃぼてん	しゃぼてん
しゃぼんだま	シャボン玉
じゃんぐる	ジャングル
しゃんそん	シャンソン
じゃんぱあ	ジャンパー
しゅうとめ	しゅうとめ
じゅうにしちょうちゅう	十二指腸虫
しょいこむ	しょいこむ
しょっぱい	しょっぱい
しょわせる	しょわせる
しょんぼり	しょんぼり
しりすぼまり	尻すぼまり
しるえっと	シルエット
じれったい	じれったい
しろうさぎ	しろうさぎ
しわがれる	しわがれる
じんえんまれな	人煙まれな
しんきくさい	辛気くさい
しんぐるはば	シングル幅
しんたいしょうがいし	身体障害者
すいあげる	吸い上げる
すいいれる	吸い入れる
すいつける	吸い付ける
ずうずうべん	ずうずう弁
すえおそろしい	末恐ろしい
すえたのもしい	末頼もしい
すえつける	据え付ける
すかあとだけ	スカート丈
すがりつく	すがりつく
すくいあげる	救い上げる
すくうたあ	スクーター
すくなからず	少なからず
すくなくとも	少なくとも
すくらっぷ	スクラップ
すくりいん	スクリーン
すくりゅう	スクリュー
すげかえる	すげ替える
すさまじい	すさまじい
すすりなき	すすり泣き
すすりなく	すすり泣く
すっすっと	すっすっと
すっぱぬき	すっぱぬき
すっぱぬく	すっぱぬく
すっぽかす	すっぽかす
すてぜりふ	捨てぜりふ
ずでんどう	ずでんどう
すとおりい	ストーリー
すとらいき	ストライキ
すとらいく	ストライク
すとりいと	ストリート
すねかじり	すねかじり
すばしこい	すばしこい
ずばぬける	ずばぬける
すばらしい	素晴らしい
すぴいかあ	スピーカー
すぷりんぐ	スプリング
すべからく	すべからく
すべくくる	統べくくる
すぺくとる	スペクトル
すべりこみ	すべり込み
すべりこむ	すべり込む
すべりだし	すべり出し
すぺりんぐ	スペリング
すぽんさあ	スポンサー
すみなれる	住みなれる
すみにくい	住みにくい
すらっくす	スラックス
すりあがる	刷りあがる
すりあがる	磨りあがる
すりあげる	磨りあげる
ずりおちる	ずり落ちる
すりかえる	すり換える
すりがらす	すりガラス
すりきれる	すりきれる
すりくだく	すりくだく
ずりさがる	ずりさがる
すりつける	すりつける
すりつぶす	すりつぶす
すりぬける	すり抜ける
すりへらす	すり減らす
すりむける	すりむける
すろおがん	スローガン
すわりこむ	すわりこむ
せいいっぱい	精いっぱい
せえらあふく	セーラー服
せおいなげ	背負い投げ
せきたてる	せきたてる
せきとめる	せきとめる
せきばらい	せきばらい
せけんしらず	世間知らず
ぜすちゃあ	ゼスチャー
せせらわらい	せせら笑い
せせらわらう	せせら笑う
せちがらい	せちがらい
せなかあわせ	背中合わせ
ぜみなある	ゼミナール
せめあぐむ	攻めあぐむ
せめおとす	攻め落とす
せめかかる	攻めかかる
せめかける	攻めかける
せめたてる	攻め立てる
せめたてる	責めたてる
せめつける	責めつける
せめほろぼす	攻め滅ぼす
せめよせる	攻め寄せる
せりあげる	せりあげる
せりあげる	せり上げる
せりおとす	せり落とす
せるろいど	セルロイド
せろふぁん	セロファン
せわしない	せわしない
せんじつめる	煎じつめる
ぞうりがけ	ぞうりがけ
そそのかし	そそのかし
そそのかす	そそのかす
そそりたつ	そそり立つ
そぞろあるき	そぞろ歩き
そだてあげる	育て上げる
そっけない	そっけない
そっちのけ	そっちのけ
そなえつける	備えつける
そなえつける	備え付ける
そのばかぎり	その場限り
そばだてる	そばだてる
そびやかす	そびやかす
そびれる	−そびれる
そめあがり	染め上がり
そめあげる	染めあげる
そめつける	染めつける
そめわける	染め分ける
そらおそろしい	空恐ろしい
そらんずる	そらんずる
そりおとす	そり落とす
そりおとす	剃り落とす
それくらい	それくらい
それっきり	それっきり
それとなく	それとなく
たいぴすと	タイピスト
だいれくと	ダイレクト
だきあげる	抱き上げる
だきあわせ	抱き合わせ
だきおこす	抱き起こす
たきしめる	焚きしめる
だきしめる	だきしめる
だきしめる	抱きしめる
たきつける	焚きつける
だきとめる	抱き止める
だきよせる	抱き寄せる
たくましい	たくましい
たけりたつ	たけりたつ
だけれども	だけれども
だしおしみ	出し惜しみ
だししぶる	出ししぶる
たしなめる	たしなめる
